group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_s,phi_s
boot_89,0.13913181973317595,0.5969353684785286,1.3402718430464113,2.2452545347790362,30000,0.4185579077473861,0.33238530729548754,1.6030737590021304e-05,1.603108024340886e-05,3.5993855613920364e-05
boot_91,0.1287110352146356,0.5553137551673957,1.0586838925146365,1.9064607758464458,30000,0.4033623021420071,0.3190691239763546,1.773073531503314e-05,1.773115449690943e-05,3.380375055883115e-05
boot_92,0.11293920698315026,0.5701732470518048,1.1626184841338276,2.0390617941921683,30000,0.3486379721450961,0.3239195584699446,1.3124774991983738e-05,1.3125004675627919e-05,2.6762695582666463e-05
boot_94,0.13596934908482844,0.5897332023311453,1.1702733773603422,1.984411548704381,30000,0.41182181843519233,0.33014028537827833,1.7641629624707558e-05,1.7642044603929855e-05,3.500907705479621e-05
boot_95,0.15020466468709326,0.6014436430045379,1.4162870002938956,2.354812486201986,30000,0.44998447571328126,0.3337784261950824,1.7371457482667312e-05,1.7371859848700318e-05,4.090747248027046e-05
boot_96,0.1108652638775705,0.5554872222852045,1.0582208859489446,1.9050319134174807,30000,0.3473738059178759,0.31912638408259125,1.3970125737468111e-05,1.3970385961532757e-05,2.661403109947946e-05
boot_97,0.13108099894421033,0.5436423730248432,1.06821368800354,1.9649198462216357,30000,0.41585731985340524,0.3151812187592918,1.8115510475561532e-05,1.8115948048423727e-05,3.559638585346789e-05
boot_98,0.12166975601029709,0.5687946080630701,1.3024748892363707,2.2898861395183046,30000,0.3761090217877443,0.323474143311709,1.3163190346422156e-05,1.3163421376583743e-05,3.014273615887807e-05
boot_100,0.12239577824297523,0.573708962367066,1.3017044617665363,2.268928232175132,30000,0.3765100804514244,0.3250576478728879,1.3307498234166878e-05,1.3307734357702165e-05,3.0194294190477435e-05
boot_99,0.1549594104134286,0.5913251395312361,1.2407623349560788,2.098274286020841,30000,0.4686332671544042,0.3306385913287352,2.1015827719914244e-05,2.10164166231023e-05,4.409820658455652e-05
boot_102,0.11425985552886594,0.5284095378529399,1.0774897209182126,2.039118607314173,30000,0.36855084458699877,0.31000015382808693,1.4311545668364467e-05,1.431181876736165e-05,2.918349595303533e-05
boot_101,0.1268395290560601,0.563466726170637,1.0998051138054414,1.9518545864807337,30000,0.3941936112119766,0.32174400478347276,1.6668567460489395e-05,1.6668937923577763e-05,3.253534293789789e-05
boot_103,0.1363318835291185,0.5638801245584067,1.1348023251720116,2.0124886048443593,30000,0.4235177403861371,0.321878750971246,1.8252494831892723e-05,1.8252939047460228e-05,3.6733831837932366e-05
boot_104,0.12794776853003131,0.5787474041618477,1.1968578248338917,2.0680141564819676,30000,0.39164508735989373,0.32666897542891843,1.55651088021453e-05,1.55654318389988e-05,3.218953339480466e-05
boot_105,0.14330312338448262,0.5623483655991517,1.2191850254103895,2.1680244844517578,30000,0.4458686385037582,0.32137905243384746,1.8556668850800462e-05,1.8557127995439174e-05,4.0232307855217295e-05
boot_106,0.14668054260277988,0.6048376732323403,1.352933236668171,2.2368534510059526,30000,0.4380570578945031,0.3348211109615807,1.7424925641356656e-05,1.74253304881407e-05,3.8977910637316764e-05
boot_108,0.14724376645429155,0.5800860487806667,1.1023907033061047,1.9003916843428927,30000,0.45011972041086834,0.32709503041877475,2.1537077883644877e-05,2.1537696362370196e-05,4.093005906695049e-05
boot_107,0.13240925128638603,0.5644010683064701,1.1740561152357518,2.0801805332484573,30000,0.4111163320758667,0.322048430602123,1.6780472935783663e-05,1.678084838987999e-05,3.490719415202207e-05
boot_110,0.13074555769726995,0.5543233437614165,1.0704500521495166,1.931093222388707,30000,0.4101592404995104,0.31874190537918407,1.8004641771432593e-05,1.800507400464262e-05,3.4769476378972455e-05
boot_109,0.1288279565182664,0.5747364733438821,1.2638379472907693,2.1989868503344088,30000,0.39589429419905386,0.32538724771414723,1.4900940373362526e-05,1.4901236429943235e-05,3.276762296316923e-05
boot_111,0.14463289977965652,0.5576050823931692,1.0605406316607762,1.9019565372486786,30000,0.45218901737315503,0.31982424772277834,2.1699947905126137e-05,2.17005757736112e-05,4.1273551954680125e-05
boot_113,0.1386970411388396,0.5802469613354279,1.1680874579763505,2.0130867299813486,30000,0.42392825407752255,0.32714618687397023,1.8277774101956873e-05,1.8278219548847408e-05,3.679564122147039e-05
boot_112,0.14051957228681863,0.577060113860637,1.3076871175721156,2.2661193975501983,30000,0.4308396992217176,0.32613073128722514,1.6701994251451245e-05,1.6702366201883633e-05,3.7849556035075333e-05
boot_114,0.11312047066552576,0.5385549935933496,1.0360845696525687,1.923823160081758,30000,0.3608417950500358,0.31346449876277666,1.4672810945865702e-05,1.4673098006656423e-05,2.8228445775355104e-05
boot_115,0.11398446273662402,0.5447467000462051,1.1101024848905425,2.0378324178859355,30000,0.36119425204745664,0.31555208831200243,1.3873101151190162e-05,1.3873357773184423e-05,2.8271578215125052e-05
boot_116,0.1429887002704716,0.5398995752580606,1.0633309658133039,1.9694976890934839,30000,0.4554579094695478,0.31391954010259693,2.12339760360529e-05,2.1234577228724915e-05,4.182145078085084e-05
boot_117,0.1526738860097387,0.5642735359845205,1.1270378919522221,1.9973254460459755,30000,0.47409548049736866,0.32200690373892976,2.2567324905391975e-05,2.256800397136276e-05,4.507564859846947e-05
boot_118,0.11646981998604046,0.5233042461553928,1.1276558520074822,2.1548761744093126,30000,0.3778308177217586,0.30823598193565355,1.4090829750174266e-05,1.4091094490458876e-05,3.0364563788840167e-05
boot_119,0.10831709519037505,0.5087664574182137,0.9714838789819747,1.9094888525314089,30000,0.3572933383493992,0.3031339457887108,1.4556769143693215e-05,1.4557051681880876e-05,2.779652791227513e-05
boot_120,0.1505679316077774,0.5757098581885999,1.1393668544599582,1.979064346830599,30000,0.4622557837106647,0.32569901398441825,2.1717843289834598e-05,2.1718472194335412e-05,4.298225398744094e-05
boot_121,0.11969452999884066,0.5673700231769626,1.1772981922324512,2.075009507270447,30000,0.37052885502631205,0.32301290442037084,1.418391503465847e-05,1.4184183284325856e-05,2.9432315167842706e-05
boot_123,0.14859969344312912,0.5746165230562104,1.1114643267492215,1.934271435213316,30000,0.45670335725136807,0.3253487970222683,2.172950177923943e-05,2.1730131359143473e-05,4.203197237142433e-05
boot_124,0.14252952813514508,0.5747529547608575,1.0466138976548962,1.8209804560123923,30000,0.4379863970953324,0.3253925303744337,2.1398262695407054e-05,2.139887322702132e-05,3.896692992709266e-05
boot_122,0.12508435550686717,0.5293216370386749,0.912769182797654,1.7244131335801838,30000,0.4030521590350943,0.31031385406561746,1.9577333925841082e-05,1.957784496851908e-05,3.3760292990911015e-05
boot_125,0.14159614998132108,0.5970186050178969,1.3865484924666578,2.3224544106545775,30000,0.42593936967112755,0.3324111130279998,1.5973968623578336e-05,1.5974308854389566e-05,3.7099604056035516e-05
boot_126,0.1284355357385599,0.5582500620638319,1.1340999349796184,2.031526751267861,30000,0.40128462894703537,0.3200363284427235,1.6496035223979623e-05,1.649639805753086e-05,3.351287395343712e-05
boot_127,0.10439971220838462,0.511979060405697,0.9877455248868761,1.9292693808691654,30000,0.34308442132539035,0.3042715266454823,1.3535321302873173e-05,1.3535565580512037e-05,2.6113752227228446e-05
boot_129,0.15662901554605616,0.5810418964871902,1.2341821560463924,2.124084620244939,30000,0.4783700792301839,0.3273987269037001,2.1587368407066113e-05,2.158798977758411e-05,4.585471706857137e-05
boot_128,0.1418276744702449,0.5630215754490482,1.2290053283407811,2.1828743016829604,30000,0.4409766684915147,0.32159881412639607,1.806870195856479e-05,1.8069137273039503e-05,3.944265540689965e-05
boot_131,0.12726799163268376,0.5695381765118176,1.0932938783707793,1.9196147395539762,30000,0.3931172521731086,0.323714493439696,1.6872259258192545e-05,1.687263883090818e-05,3.238896619498211e-05
boot_134,0.12143441227618629,0.5600041503885972,1.1735928978218848,2.095686071268413,30000,0.3787299239381167,0.32061204742508564,1.4544304623536673e-05,1.4544586678069032e-05,3.0480887713585393e-05
boot_130,0.1371240819726604,0.5669219752671273,1.1436854439162607,2.017359520024548,30000,0.4246742079937045,0.3228676333418301,1.8294845395734328e-05,1.8295291675111215e-05,3.690818083241147e-05
boot_132,0.11042840932180485,0.5588877572287522,1.115042653397188,1.9951101790565833,30000,0.34479691966340126,0.32024580840227634,1.3188353112993316e-05,1.318858502728185e-05,2.6312680235283267e-05
boot_133,0.1220086928843359,0.5570247731280747,1.1109738814667496,1.9944784057410445,30000,0.3816847065999909,0.3196332528925365,1.5475170272467048e-05,1.547548958691559e-05,3.0865529799373545e-05
